Chương,Nhóm,Mã HS 6 số,Mô tả hàng hoá,Quy tắc xuất xứ
Chương 1 - Động vật sống,"Ngựa, lừa, la sống.",010121,- Ngựa: - - Loại thuần chủng để nhân giống,WO
Chương 1 - Động vật sống,"Ngựa, lừa, la sống.",010129,- Ngựa: - - Loại khác,WO
Chương 1 - Động vật sống,"Ngựa, lừa, la sống.",010130,- Ngựa: - Lừa:,WO
Chương 1 - Động vật sống,"Ngựa, lừa, la sống.",010190,- Ngựa: - Loại khác,WO
Chương 1 - Động vật sống,Động vật sống họ trâu bò.,010221,- Gia súc: - - Loại thuần chủng để nhân giống,WO
Chương 1 - Động vật sống,Động vật sống họ trâu bò.,010229,- Gia súc: - - Loại khác:,WO
Chương 1 - Động vật sống,Động vật sống họ trâu bò.,010231,- Trâu: - - Loại thuần chủng để nhân giống,WO
Chương 1 - Động vật sống,Động vật sống họ trâu bò.,010239,- Trâu: - - Loại khác,WO
Chương 1 - Động vật sống,Động vật sống họ trâu bò.,010290,- Trâu: - Loại khác:,WO
Chương 1 - Động vật sống,Lợn sống.,010310,- Loại thuần chủng để nhân giống,WO
Chương 1 - Động vật sống,Lợn sống.,010391,- Loại khác: - - Trọng lượng dưới 50 kg,WO
Chương 1 - Động vật sống,Lợn sống.,010392,- Loại khác: - - Trọng lượng từ 50 kg trở lên,WO
Chương 1 - Động vật sống,"Cừu, dê sống.",010410,- Cừu,WO
Chương 1 - Động vật sống,"Cừu, dê sống.",010420,- Dê,WO
Chương 1 - Động vật sống,"Gia cầm sống, gồm các loại gà thuộc loài Gallus domesticus, vịt, ngan, ngỗng, gà tây và gà lôi.",010511,- Loại trọng lượng không quá 185 g: - - Gà thuộc loài Gallus domesticus,WO
Chương 1 - Động vật sống,"Gia cầm sống, gồm các loại gà thuộc loài Gallus domesticus, vịt, ngan, ngỗng, gà tây và gà lôi.",010512,- Loại trọng lượng không quá 185 g: - - Gà tây,WO
Chương 1 - Động vật sống,"Gia cầm sống, gồm các loại gà thuộc loài Gallus domesticus, vịt, ngan, ngỗng, gà tây và gà lôi.",010513,"- Loại trọng lượng không quá 185 g: - - Vịt, ngan",WO
Chương 1 - Động vật sống,"Gia cầm sống, gồm các loại gà thuộc loài Gallus domesticus, vịt, ngan, ngỗng, gà tây và gà lôi.",010514,- Loại trọng lượng không quá 185 g: - - Ngỗng,WO
Chương 1 - Động vật sống,"Gia cầm sống, gồm các loại gà thuộc loài Gallus domesticus, vịt, ngan, ngỗng, gà tây và gà lôi.",010515,- Loại trọng lượng không quá 185 g: - - Gà lôi,WO
Chương 1 - Động vật sống,"Gia cầm sống, gồm các loại gà thuộc loài Gallus domesticus, vịt, ngan, ngỗng, gà tây và gà lôi.",010594,- Loại khác: - - Gà thuộc loài Gallus domesticus,WO
Chương 1 - Động vật sống,"Gia cầm sống, gồm các loại gà thuộc loài Gallus domesticus, vịt, ngan, ngỗng, gà tây và gà lôi.",010599,- Loại khác: - - Loại khác,WO
Chương 1 - Động vật sống,Động vật sống khác.,010611,- Động vật có vú: - - Bộ động vật linh trưởng,WO
Chương 1 - Động vật sống,Động vật sống khác.,010612,"- Động vật có vú: - - Cá voi, cá nục heo và cá heo (động vật có vú thuộc bộ cá voi Cetacea); lợn biển và cá nược (động vật có vú thuộc bộ Sirenia); hải cẩu, sư tử biển và hải mã (động vật có vú thuộc phân bộ Pinnipedia)",WO
Chương 1 - Động vật sống,Động vật sống khác.,010613,- Động vật có vú: - - Lạc đà và họ lạc đà (Camelidae),WO
Chương 1 - Động vật sống,Động vật sống khác.,010614,- Động vật có vú: - - Thỏ,WO
Chương 1 - Động vật sống,Động vật sống khác.,010619,- Động vật có vú: - - Loài khác,WO
Chương 1 - Động vật sống,Động vật sống khác.,010620,- Động vật có vú: - Loài bò sát (kể cả rắn và rùa),WO
Chương 1 - Động vật sống,Động vật sống khác.,010631,- Các loại chim: - - Chim săn mồi,WO
Chương 1 - Động vật sống,Động vật sống khác.,010632,"- Các loại chim: - - Vẹt (kể cả vẹt lớn châu Mỹ, vẹt nhỏ đuôi dài, vẹt đuôi dài và vẹt có mào)",WO
